feature,importance,pt
3,0.016164241,Accidental poisoning
4,0.020751784,Accidental poisoning
5,0.019297127,Accidental poisoning
6,0.022665536,Accidental poisoning
7,0.033539496,Accidental poisoning
8,0.022517793,Accidental poisoning
9,0.03348293,Accidental poisoning
10,0.015731042,Accidental poisoning
11,0.10711195,Accidental poisoning
12,0.036043845,Accidental poisoning
13,0.039787784,Accidental poisoning
14,0.061624315,Accidental poisoning
15,0.041700263,Accidental poisoning
16,0.016607882,Accidental poisoning
17,0.018953195,Accidental poisoning
18,0.091584645,Accidental poisoning
19,0.0,Accidental poisoning
20,0.03332577,Accidental poisoning
21,0.062009484,Accidental poisoning
22,0.07550259,Accidental poisoning
23,0.0,Accidental poisoning
24,0.06584518,Accidental poisoning
25,0.03831943,Accidental poisoning
0,0.024856074,Achlorhydria
1,0.037240956,Achlorhydria
2,0.07929342,Achlorhydria
3,0.040799264,Achlorhydria
4,0.024359878,Achlorhydria
5,0.056664173,Achlorhydria
6,0.010321285,Achlorhydria
7,0.021356162,Achlorhydria
8,0.0,Achlorhydria
9,0.06624968,Achlorhydria
10,0.03346696,Achlorhydria
11,0.009996886,Achlorhydria
12,0.057510722,Achlorhydria
13,0.010464029,Achlorhydria
14,0.015786111,Achlorhydria
15,0.062008884,Achlorhydria
16,0.013157954,Achlorhydria
17,0.0,Achlorhydria
18,0.035670903,Achlorhydria
19,0.019723177,Achlorhydria
20,0.012188135,Achlorhydria
21,0.01846446,Achlorhydria
22,0.16494922,Achlorhydria
23,0.012530895,Achlorhydria
24,0.009004348,Achlorhydria
25,0.16393653,Achlorhydria
0,0.039142985,Acinetobacter bacteraemia
1,0.04324367,Acinetobacter bacteraemia
2,0.0077220104,Acinetobacter bacteraemia
3,0.010641208,Acinetobacter bacteraemia
4,0.0,Acinetobacter bacteraemia
5,0.10095818,Acinetobacter bacteraemia
6,0.0073103397,Acinetobacter bacteraemia
7,0.007538349,Acinetobacter bacteraemia
8,0.0073439125,Acinetobacter bacteraemia
9,0.035680972,Acinetobacter bacteraemia
10,0.0,Acinetobacter bacteraemia
11,0.045105543,Acinetobacter bacteraemia
12,0.16326988,Acinetobacter bacteraemia
13,0.0,Acinetobacter bacteraemia
14,0.006963548,Acinetobacter bacteraemia
15,0.010245012,Acinetobacter bacteraemia
