feature,importance,pt
24,0.0,Abdominal wound dehiscence
25,0.25325403,Abdominal wound dehiscence
0,0.025587594,Abnormal withdrawal bleeding
1,0.052626602,Abnormal withdrawal bleeding
2,0.011916694,Abnormal withdrawal bleeding
3,0.08015152,Abnormal withdrawal bleeding
4,0.041165024,Abnormal withdrawal bleeding
5,0.0063411905,Abnormal withdrawal bleeding
6,0.03227668,Abnormal withdrawal bleeding
7,0.034215678,Abnormal withdrawal bleeding
8,0.01280982,Abnormal withdrawal bleeding
9,0.010637018,Abnormal withdrawal bleeding
10,0.054017235,Abnormal withdrawal bleeding
11,0.089847006,Abnormal withdrawal bleeding
12,0.025083197,Abnormal withdrawal bleeding
13,0.03328211,Abnormal withdrawal bleeding
14,0.042404443,Abnormal withdrawal bleeding
15,0.065004274,Abnormal withdrawal bleeding
16,0.19613542,Abnormal withdrawal bleeding
17,0.026913907,Abnormal withdrawal bleeding
18,0.00717153,Abnormal withdrawal bleeding
19,0.018338425,Abnormal withdrawal bleeding
20,0.021297295,Abnormal withdrawal bleeding
21,0.06970134,Abnormal withdrawal bleeding
22,0.003009918,Abnormal withdrawal bleeding
23,0.003204576,Abnormal withdrawal bleeding
24,9.128617e-06,Abnormal withdrawal bleeding
25,0.036852494,Abnormal withdrawal bleeding
0,0.015183519,Abnormal uterine bleeding
1,0.040074013,Abnormal uterine bleeding
2,0.02017721,Abnormal uterine bleeding
3,0.030032974,Abnormal uterine bleeding
4,0.003434091,Abnormal uterine bleeding
5,0.001305382,Abnormal uterine bleeding
6,0.025138842,Abnormal uterine bleeding
7,0.018196164,Abnormal uterine bleeding
8,0.008244689,Abnormal uterine bleeding
9,0.007801879,Abnormal uterine bleeding
10,0.048562467,Abnormal uterine bleeding
11,0.05566634,Abnormal uterine bleeding
12,0.07548012,Abnormal uterine bleeding
13,0.016086623,Abnormal uterine bleeding
14,0.0066617755,Abnormal uterine bleeding
15,0.059422947,Abnormal uterine bleeding
16,0.20499991,Abnormal uterine bleeding
17,0.00095799984,Abnormal uterine bleeding
18,0.020231415,Abnormal uterine bleeding
19,0.030672189,Abnormal uterine bleeding
20,0.024458501,Abnormal uterine bleeding
21,0.053542953,Abnormal uterine bleeding
22,0.027463784,Abnormal uterine bleeding
23,0.014372312,Abnormal uterine bleeding
24,0.14093393,Abnormal uterine bleeding
25,0.050897937,Abnormal uterine bleeding
0,0.049157258,Abortion incomplete
1,0.06810144,Abortion incomplete
2,0.017916387,Abortion incomplete
3,0.13320848,Abortion incomplete
4,0.035928216,Abortion incomplete
5,0.0,Abortion incomplete
6,0.038914755,Abortion incomplete
7,0.106799155,Abortion incomplete
8,0.23446544,Abortion incomplete
9,0.0,Abortion incomplete
10,0.025736874,Abortion incomplete
11,0.0,Abortion incomplete
12,0.09159473,Abortion incomplete
13,0.0,Abortion incomplete
14,0.0,Abortion incomplete
15,0.0,Abortion incomplete
16,0.0,Abortion incomplete
17,0.0,Abortion incomplete
18,0.095071055,Abortion incomplete
19,0.061610926,Abortion incomplete
20,0.0,Abortion incomplete
21,0.0,Abortion incomplete
22,0.041495338,Abortion incomplete
23,0.0,Abortion incomplete
24,0.0,Abortion incomplete
25,0.0,Abortion incomplete
0,0.02204388,Abnormal weight gain
1,0.015390549,Abnormal weight gain
2,0.0074480493,Abnormal weight gain
3,0.0156232705,Abnormal weight gain
4,0.019950327,Abnormal weight gain
5,0.003002167,Abnormal weight gain
6,0.002333043,Abnormal weight gain
7,0.06673678,Abnormal weight gain
8,0.0031657736,Abnormal weight gain
9,0.011318959,Abnormal weight gain
10,0.008585231,Abnormal weight gain
11,0.039232302,Abnormal weight gain
12,0.15545607,Abnormal weight gain
13,0.015587766,Abnormal weight gain
14,0.016118193,Abnormal weight gain
15,0.0048275003,Abnormal weight gain
16,0.33957922,Abnormal weight gain
17,0.020966338,Abnormal weight gain
18,0.0064794375,Abnormal weight gain
19,0.011146454,Abnormal weight gain
20,0.022090789,Abnormal weight gain
21,0.0021138194,Abnormal weight gain
22,0.081745565,Abnormal weight gain
23,0.082543254,Abnormal weight gain
24,0.008483561,Abnormal weight gain
25,0.018031666,Abnormal weight gain
0,0.031712342,Abortion threatened
1,0.013617148,Abortion threatened
2,0.026044607,Abortion threatened
3,0.071912795,Abortion threatened
4,0.05393792,Abortion threatened
5,0.014269409,Abortion threatened
6,0.0028944719,Abortion threatened
7,0.03447662,Abortion threatened
8,0.0029393611,Abortion threatened
9,0.00930288,Abortion threatened
10,0.06856527,Abortion threatened
11,0.07254844,Abortion threatened
12,0.05096972,Abortion threatened
13,0.06365592,Abortion threatened
14,0.0019460908,Abortion threatened
15,0.14703782,Abortion threatened
16,0.21196161,Abortion threatened
17,0.00016288817,Abortion threatened
18,0.007982444,Abortion threatened
19,4.3337973e-06,Abortion threatened
20,0.027481403,Abortion threatened
21,0.003888213,Abortion threatened
22,8.802089e-05,Abortion threatened
23,0.062330905,Abortion threatened
24,1.3470614e-06,Abortion threatened
25,0.02026805,Abortion threatened
0,0.08712354,Abortion
1,0.01980463,Abortion
2,0.011738061,Abortion
3,0.023733703,Abortion
4,0.08384621,Abortion
5,0.037807975,Abortion
6,0.0028509425,Abortion
7,0.012533893,Abortion
8,0.006831945,Abortion
9,0.008316332,Abortion
10,0.14500096,Abortion
11,0.010348075,Abortion
12,0.01848126,Abortion
13,0.049170777,Abortion
14,4.538185e-05,Abortion
15,0.035597365,Abortion
16,0.00632902,Abortion
17,0.30708212,Abortion
18,0.01355438,Abortion
19,0.014638794,Abortion
20,0.02502178,Abortion
21,0.009843123,Abortion
22,0.05600018,Abortion
23,4.479162e-05,Abortion
24,0.005750725,Abortion
25,0.008504009,Abortion
0,0.04746662,Abscess bacterial
1,0.025694873,Abscess bacterial
2,0.03399442,Abscess bacterial
3,0.09789352,Abscess bacterial
4,0.013359807,Abscess bacterial
5,0.010343983,Abscess bacterial
6,0.013588028,Abscess bacterial
7,0.06467806,Abscess bacterial
8,1.7927814e-05,Abscess bacterial
9,0.0048611667,Abscess bacterial
10,0.0,Abscess bacterial
11,0.001617104,Abscess bacterial
12,0.16164327,Abscess bacterial
13,0.00020971001,Abscess bacterial
14,0.0077578784,Abscess bacterial
15,0.0002840585,Abscess bacterial
16,0.34593415,Abscess bacterial
17,0.09961745,Abscess bacterial
18,0.01022475,Abscess bacterial
19,0.0036205924,Abscess bacterial
20,0.052985795,Abscess bacterial
21,0.004103928,Abscess bacterial
22,5.1304983e-06,Abscess bacterial
23,4.0184877e-06,Abscess bacterial
24,6.6638895e-05,Abscess bacterial
25,2.7101814e-05,Abscess bacterial
0,0.035421733,Abscess fungal
1,0.057865832,Abscess fungal
2,0.0265343,Abscess fungal
3,0.07007206,Abscess fungal
4,0.06223858,Abscess fungal
5,0.07438722,Abscess fungal
6,0.006148639,Abscess fungal
7,0.06145315,Abscess fungal
8,0.029917354,Abscess fungal
9,0.024310289,Abscess fungal
10,0.017362371,Abscess fungal
11,0.075482965,Abscess fungal
12,0.114351965,Abscess fungal
13,9.117268e-07,Abscess fungal
14,0.003937171,Abscess fungal
15,4.0108685e-06,Abscess fungal
16,0.07304115,Abscess fungal
17,0.05678497,Abscess fungal
18,0.024131041,Abscess fungal
19,0.014269662,Abscess fungal
20,0.043267258,Abscess fungal
21,0.09929091,Abscess fungal
22,0.0052731484,Abscess fungal
23,1.8851608e-05,Abscess fungal
24,0.024429858,Abscess fungal
25,4.52793e-06,Abscess fungal
